1,1,9,26
2,1,10,26
3,1,11,26
4,1,12,26
5,1,9,27
6,1,10,27
7,1,11,27
8,1,12,27
9,1,9,28
10,1,10,28
11,1,11,28
12,1,12,28
13,2,9,26
14,2,10,26
15,2,11,26
16,2,12,26
17,2,9,27
18,2,10,27
19,2,11,27
20,2,12,27
21,2,9,28
22,2,10,28
23,2,11,28
24,2,12,28
25,3,9,26
26,3,10,26
27,3,11,26
28,3,12,26
29,3,9,27
30,3,10,27
31,3,11,27
32,3,12,27
33,3,9,28
34,3,10,28
35,3,11,28
36,3,12,28
37,4,9,26
38,4,10,26
39,4,11,26
40,4,12,26
41,4,9,27
42,4,10,27
43,4,11,27
44,4,12,27
45,4,9,28
46,4,10,28
47,4,11,28
48,4,12,28
49,5,9,26
50,5,10,26
51,5,11,26
52,5,12,26
53,5,9,27
54,5,10,27
55,5,11,27
56,5,12,27
57,5,9,28
58,5,10,28
59,5,11,28
60,5,12,28
61,6,13,26
62,6,14,26
63,6,15,26
64,6,16,26
65,6,13,27
66,6,14,27
67,6,15,27
68,6,16,27
69,6,13,28
70,6,14,28
71,6,15,28
72,6,16,28
73,7,13,26
74,7,14,26
75,7,15,26
76,7,16,26
77,7,13,27
78,7,14,27
79,7,15,27
80,7,16,27
81,7,13,28
82,7,14,28
83,7,15,28
84,7,16,28
85,8,13,26
86,8,14,26
87,8,15,26
88,8,16,26
89,8,13,27
90,8,14,27
91,8,15,27
92,8,16,27
93,8,13,28
94,8,14,28
95,8,15,28
96,8,16,28
97,9,13,26
98,9,14,26
99,9,15,26
100,9,16,26
101,9,13,27
102,9,14,27
103,9,15,27
104,9,16,27
105,9,13,28
106,9,14,28
107,9,15,28
108,9,16,28
109,10,13,26
110,10,14,26
111,10,15,26
112,10,16,26
113,10,13,27
114,10,14,27
115,10,15,27
116,10,16,27
117,10,13,28
118,10,14,28
119,10,15,28
120,10,16,28
